employee_id,employee_first_name,employee_last_name,employee_title,employee_start_date,employee_branch_number,employee_salary
1,Wutthichai,Saehua,Manager,2020-04-01,B01,30000
2,Thitinun,Saehua,Officer,2020-04-01,B01,15000
3,Siriapha,Saehua,Officer,2020-04-01,B01,15000
4,Thanthiwa,Ponjakfa,Officer,2020-04-01,B01,15000
5,John,Cameron,Officer,2020-04-01,B01,15000
6,Edogawa,Conan,Manager,2020-04-02,B12,30000
7,Kudo,Shinichi,Officer,2020-04-02,B12,15000
8,Kurosagi,Ichigo,Officer,2020-04-02,B12,15000
9,Hondo,Esuke,Officer,2020-04-02,B12,15000
10,Mori,Kogoro,Officer,2020-04-02,B12,15000
11,Tony,Stark,Manager,2020-04-03,B23,30000
12,Stephen,Strange,Officer,2020-04-03,B23,15000
13,Wanda,Maximoff,Officer,2020-04-03,B23,15000
14,James,Rhodes,Officer,2020-04-03,B23,15000
15,Peter,Quill,Officer,2020-04-03,B23,15000
16,Steve,Rogers,Manager,2020-04-04,B34,30000
17,Bucky,Barnes,Officer,2020-04-04,B34,15000
18,Clint,Barton,Officer,2020-04-04,B34,15000
19,Natasha,Romanoff,Officer,2020-04-04,B35,15000
20,Sam,Wilson,Officer,2020-04-04,B34,15000
21,God,Thor,Manager,2020-04-05,B05,30000
22,Bruce,Banner,Officer,2020-04-05,B05,15000
23,Nick,Fury,Officer,2020-04-05,B05,15000
24,T,Challa,Officer,2020-04-05,B05,15000
25,Scott,Lang,Officer,2020-04-05,B05,15000
26,Peter,Parker,Manager,2020-04-06,B15,30000
27,Ryan,Reynolds,Officer,2020-04-06,B15,15000
28,Mister,Fantastic,Officer,2020-04-06,B15,15000
29,Captain,Marvel,Officer,2020-04-06,B15,15000
30,Titan,Thanos,Officer,2020-04-06,B15,15000
